group,model,layer,view,n,rho_mean,rho_sem,rho_null_mean,p_vs_zero,p_vs_null_anchor,frac_pos
MFC concept,resnet50,layer2,gap,29.0,0.010036412708686304,0.04318560039200864,0.014679298238775876,0.8983406014740467,0.7982758991420269,0.5172413793103449
MFC concept,resnet50,layer3,gap,29.0,0.05745184458044153,0.041018749740348234,0.019719675937385217,0.30419324710965157,0.48119615763425827,0.5517241379310345
MFC concept,resnet50,layer4,gap,29.0,0.1156571465370638,0.03165206985811346,0.0073084760677899225,0.001666329801082611,0.00234014168381691,0.7586206896551724
MFC concept,resnet50,logits,gap,29.0,0.10900805851888554,0.030154605581798537,0.014017220463130463,0.0019781142473220825,0.005566027015447617,0.7586206896551724
MFC concept,resnet50,stem,gap,29.0,0.04311321063887895,0.031206260426824957,0.013893551184730997,0.23825867101550102,0.30419324710965157,0.5862068965517241
MFC concept,vgg16,conv1_2,gap,29.0,0.0008455634422730069,0.03545463535274492,0.008082019252904577,0.983013316988945,0.7172092758119106,0.4827586206896552
MFC concept,vgg16,conv2_2,gap,29.0,-0.0003263423404461105,0.03601225354138191,0.009723125964154415,0.983013316988945,0.8647311441600323,0.4827586206896552
MFC concept,vgg16,conv3_3,gap,29.0,0.013865643590847838,0.03930753427241647,0.001425355418509105,0.7982758991420269,0.7172092758119106,0.5517241379310345
MFC concept,vgg16,conv4_3,gap,29.0,0.05636571622462894,0.03916803133643106,0.018385676328948466,0.27462591975927353,0.38083895295858383,0.5517241379310345
MFC concept,vgg16,conv5_3,gap,29.0,0.10635640577617488,0.031805517796311036,0.013033175541628627,0.0027591250836849213,0.007456466555595398,0.6896551724137931
MFC concept,vgg16,fc6,gap,29.0,0.10718168081529299,0.03207956256076263,0.015202256488149653,0.00516427680850029,0.009216241538524628,0.7241379310344828
MFC concept,vgg16,fc7,gap,29.0,0.10267845920287211,0.03068578462489342,0.014094321366206117,0.0032424964010715485,0.009877141565084457,0.6896551724137931
MFC concept,vgg16,logits,gap,29.0,0.09470313148905861,0.028113876839442237,-0.011154266904937314,0.004106286913156509,0.00234014168381691,0.7241379310344828
MFC concept,vit_b_16,block11,cls,29.0,0.09430882523568362,0.028629513000004256,0.019960297908640824,0.005566027015447617,0.038631681352853775,0.6896551724137931
MFC concept,vit_b_16,block2,cls,29.0,0.022836879320705692,0.04114464052970308,0.01921453325103891,0.8647311441600323,0.983013316988945,0.5172413793103449
