region,concept_cell,model,layer,view,n_units,r_mean,r_median,r_sem,r_norm_mean,frac_pos
MFC,False,convnext_tiny,stage1,gap,445,-0.19010472027241807,-0.22825208125299665,0.008117130523416517,-0.7202226735967902,0.14606741573033707
MFC,False,convnext_tiny,stage2,gap,445,-0.18611720115421068,-0.22898524971293094,0.00844060640359827,-0.7056191814779956,0.16404494382022472
MFC,False,convnext_tiny,stage3,gap,445,-0.18947348358413818,-0.22868840462736006,0.008225506497651826,-0.7268367273950092,0.14157303370786517
MFC,False,convnext_tiny,stage4,gap,445,-0.1868173822343509,-0.21579478642617864,0.007980121766542439,-0.7300860285409212,0.13258426966292136
MFC,False,dinov2_small,block11,cls,445,-0.1843447858679858,-0.2230509956652487,0.008145809216245121,-0.71415595388589,0.15056179775280898
MFC,False,dinov2_small,block11,gap,445,-0.1783779890513152,-0.19546640054303102,0.008167750219823418,-0.6913116959458869,0.1662921348314607
MFC,False,dinov2_small,block2,cls,445,-0.1770549162675037,-0.18820235325642387,0.008325545650380742,-0.6696943386487338,0.14831460674157304
MFC,False,dinov2_small,block2,gap,445,-0.17840488881335634,-0.19868251204088114,0.008365143644952996,-0.6831579004896168,0.15955056179775282
MFC,False,dinov2_small,block5,cls,445,-0.1690842432806898,-0.19097979057853248,0.008477348772743512,-0.6483077933460403,0.19550561797752808
MFC,False,dinov2_small,block5,gap,445,-0.17410096563486316,-0.20667231506223543,0.008443423262315087,-0.6612961750456747,0.16179775280898875
MFC,False,dinov2_small,block8,cls,445,-0.161314828089388,-0.18529344919622037,0.008639871278944692,-0.6280022507763482,0.19325842696629214
MFC,False,dinov2_small,block8,gap,445,-0.17126246319821375,-0.191727216191323,0.0085023305789675,-0.6633464776146372,0.18202247191011237
MFC,False,dinov2_small,norm,cls,445,-0.1852983720250589,-0.21640999809572642,0.008000343535204102,-0.7161892837035788,0.15730337078651685
MFC,False,dinov2_small,norm,gap,445,-0.1790430170006417,-0.20547504064670508,0.00820769222697979,-0.6939839910209243,0.16179775280898875
MFC,False,resnet18,avgpool,gap,445,-0.17161968958762203,-0.18673152774492052,0.008210051024540236,-0.6693342334573318,0.1662921348314607
MFC,False,resnet18,layer1,gap,445,-0.18713580215829814,-0.23048120309166176,0.008222777631607508,-0.7088571366931935,0.15730337078651685
MFC,False,resnet18,layer2,gap,445,-0.18146875766636308,-0.22145890705846902,0.008872761321455385,-0.6859017618653713,0.18202247191011237
MFC,False,resnet18,layer3,gap,445,-0.17699257275305655,-0.21500756273862562,0.00902185726805194,-0.6709280951749736,0.1662921348314607
MFC,False,resnet18,layer4,gap,445,-0.17161968958762203,-0.18673152774492052,0.008210051024540236,-0.6693342334573318,0.1662921348314607
MFC,False,resnet18,logits,gap,445,-0.13115964941498126,-0.1328446081601293,0.008323064501590345,-0.5113740033755638,0.23370786516853934
MFC,False,resnet18,stem,gap,445,-0.18923158175203647,-0.2249046750538896,0.008223459732902082,-0.7179521850217506,0.15056179775280898
MFC,False,resnet50,avgpool,gap,445,-0.10714027883707855,-0.1146072441010226,0.007898506685478887,-0.4209073528572882,0.2651685393258427
MFC,False,resnet50,layer1,gap,445,-0.17124143590074015,-0.20673594321611205,0.00865434917024874,-0.6524209518232919,0.2
MFC,False,resnet50,layer2,gap,445,-0.16329524340332738,-0.1788853879256962,0.009081446468465449,-0.6206069484672189,0.18876404494382024
MFC,False,resnet50,layer3,gap,445,-0.15865269551433125,-0.18398759627971484,0.00870546715054063,-0.6022465125503572,0.20898876404494382
MFC,False,resnet50,layer4,gap,445,-0.10714027883707855,-0.1146072441010226,0.007898506685478887,-0.4209073528572882,0.2651685393258427
