group,subject,unit,area,model,layer,view,rho,rho_null
MTL non-concept,10,41,hippocampus,alexnet,conv1,gap,0.12301658797609766,0.12571132446891237
MTL non-concept,10,42,hippocampus,alexnet,conv1,gap,0.03884264670443837,0.09025425900914334
MTL non-concept,10,43,hippocampus,alexnet,conv1,gap,0.02052071664567575,0.027451512885072245
MTL non-concept,10,44,hippocampus,alexnet,conv1,gap,-0.09238768374278246,0.05307083193406251
MTL non-concept,10,45,hippocampus,alexnet,conv1,gap,0.24695390423328212,0.22882989218012018
MTL non-concept,10,62,amygdala,alexnet,conv1,gap,0.11819528141983392,0.19412329562303549
MTL non-concept,10,63,amygdala,alexnet,conv1,gap,0.1011931945230913,0.2260225028257228
MTL non-concept,10,65,amygdala,alexnet,conv1,gap,0.19714222113079713,0.1478859810629307
MTL non-concept,10,66,amygdala,alexnet,conv1,gap,0.011073371172143175,-0.031229564799163976
MTL non-concept,10,68,amygdala,alexnet,conv1,gap,-0.11968664648023848,0.020063508907628317
MTL non-concept,10,69,amygdala,alexnet,conv1,gap,-0.009338839707268336,0.03783704336170672
MTL non-concept,11,0,hippocampus,alexnet,conv1,gap,0.21065833034059733,-0.17885215624941406
MTL non-concept,11,1,hippocampus,alexnet,conv1,gap,0.014609156250474388,0.1086707202691518
MTL non-concept,11,2,hippocampus,alexnet,conv1,gap,-0.07557776621718629,0.040628837912657347
MTL non-concept,11,3,hippocampus,alexnet,conv1,gap,0.040825676586837965,0.011202948866329334
MTL non-concept,11,4,hippocampus,alexnet,conv1,gap,0.1681071788756943,0.03943192518920541
MTL non-concept,11,8,hippocampus,alexnet,conv1,gap,-0.06452138365293816,0.15506923580697635
MTL non-concept,11,9,hippocampus,alexnet,conv1,gap,0.03681067027611793,-0.09543882948225753
MTL non-concept,11,10,hippocampus,alexnet,conv1,gap,0.22833559168697268,0.21283112302668294
MTL non-concept,11,14,hippocampus,alexnet,conv1,gap,-0.049497379546974446,-0.1837022644217316
MTL non-concept,11,15,hippocampus,alexnet,conv1,gap,0.11303604328626343,-0.09652640043400834
MTL non-concept,11,19,hippocampus,alexnet,conv1,gap,0.11143563045327591,0.1464867182353282
MTL non-concept,11,20,hippocampus,alexnet,conv1,gap,-0.13507707616947043,-0.02328126160962558
MTL non-concept,11,21,amygdala,alexnet,conv1,gap,-0.02583795434144605,-0.06030542532130917
MTL non-concept,11,22,amygdala,alexnet,conv1,gap,-0.10894389386813459,0.13564190098237996
MTL non-concept,11,23,amygdala,alexnet,conv1,gap,-0.10064955569851128,-0.10137520852307152
MTL non-concept,11,24,amygdala,alexnet,conv1,gap,-0.11713711175940755,0.12794576481128803
MTL non-concept,11,26,amygdala,alexnet,conv1,gap,-0.018210353055537917,-0.11306150076958608
MTL non-concept,11,27,amygdala,alexnet,conv1,gap,0.028391140433334648,-0.11870236570279133
MTL non-concept,11,29,amygdala,alexnet,conv1,gap,-0.026314828078681612,0.07414174677163288
MTL non-concept,11,30,amygdala,alexnet,conv1,gap,0.04722927873882966,0.17045356453312183
MTL non-concept,11,32,amygdala,alexnet,conv1,gap,0.01800002774561775,-0.080959653738975
MTL non-concept,11,33,amygdala,alexnet,conv1,gap,-0.13854599998754405,-0.12118230389507863
MTL non-concept,11,35,amygdala,alexnet,conv1,gap,-0.0820287990190015,-0.009636746033065155
MTL non-concept,11,61,hippocampus,alexnet,conv1,gap,-0.06993609711292458,-0.0699038336253652
MTL non-concept,11,62,hippocampus,alexnet,conv1,gap,0.02839913639293369,0.03824551392565093
MTL non-concept,11,63,hippocampus,alexnet,conv1,gap,0.12366068469301934,0.192423357802665
MTL non-concept,11,64,hippocampus,alexnet,conv1,gap,0.12720926861623072,0.09474775127730097
MTL non-concept,11,66,hippocampus,alexnet,conv1,gap,-0.0925457659693657,0.13776769044400258
MTL non-concept,11,67,hippocampus,alexnet,conv1,gap,-0.001883417896269603,-0.011087913619436012
