subject,unit,area,region,concept_cell,mean_rate,reliability,model,layer,view,r,r_norm
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,logits,gap,-0.23122069141438162,-0.854421025214277
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,logits,gap,-0.04466680752292369,-0.13460422206975362
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,logits,gap,-0.013762060436528268,-0.05948903105119923
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,vgg16,conv1_2,gap,0.23263207032595895,1.0403622459907118
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,vgg16,conv1_2,gap,-0.29037091445974395,-1.2985782068415281
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,vgg16,conv1_2,gap,0.2119551654995385,0.9478923164783725
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,vgg16,conv1_2,gap,-0.22528165103235648,-1.0074901715834697
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,vgg16,conv1_2,gap,-0.2042956147756002,-0.40342558886204455
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,vgg16,conv1_2,gap,-0.024406288798171083,-0.09018763056649184
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,vgg16,conv1_2,gap,-0.32982192770843044,-0.993924268663154
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,vgg16,conv1_2,gap,-0.00421556520375764,-0.01822255398901279
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,vgg16,conv2_2,gap,0.16227789210740315,0.7257287959950601
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,vgg16,conv2_2,gap,-0.33692983091006784,-1.506796011124843
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,vgg16,conv2_2,gap,0.26314079661435946,1.1768014177663086
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,vgg16,conv2_2,gap,-0.25502514338487503,-1.1405071131604227
