subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
20,MFC,6,63,resnet18,layer4,gap,-0.019721566490875083,0.02462067167565151,-0.125687318204301
20,MFC,6,63,resnet18,avgpool,gap,-0.019721566490875083,0.02462067167565151,-0.125687318204301
20,MFC,6,63,resnet18,logits,gap,-0.010525399903762205,0.02462067167565151,-0.06707932088172472
20,MFC,6,63,resnet50,stem,gap,0.0035786464704934302,0.02462067167565151,0.022807036037716315
20,MFC,6,63,resnet50,layer1,gap,0.011659569844532067,0.02462067167565151,0.07430748799052166
20,MFC,6,63,resnet50,layer2,gap,0.006121307111743144,0.02462067167565151,0.03901164114604635
20,MFC,6,63,resnet50,layer3,gap,-0.011684427988635497,0.02462067167565151,-0.07446591118014717
20,MFC,6,63,resnet50,layer4,gap,-0.016043685587427508,0.02462067167565151,-0.10224785219418359
20,MFC,6,63,resnet50,avgpool,gap,-0.016043685587427508,0.02462067167565151,-0.10224785219418359
20,MFC,6,63,resnet50,logits,gap,-0.02062124250730979,0.02462067167565151,-0.13142103442865502
20,MFC,6,63,convnext_tiny,stage1,gap,0.006099590266389094,0.02462067167565151,0.038873237736070224
20,MFC,6,63,convnext_tiny,stage2,gap,0.01738942441535179,0.02462067167565151,0.11082436686219753
20,MFC,6,63,convnext_tiny,stage3,gap,-0.008008381925842049,0.02462067167565151,-0.051038138774655725
20,MFC,6,63,convnext_tiny,stage4,gap,-0.02474547941013021,0.02462067167565151,-0.15770516739519963
20,MFC,6,63,convnext_tiny,avgpool,gap,-0.02474547941013021,0.02462067167565151,-0.15770516739519963
20,MFC,6,63,convnext_tiny,logits,gap,-0.029723223292381622,0.02462067167565151,-0.1894287771580205
20,MFC,6,63,vit_b_16,block2,cls,0.017157744772511592,0.02462067167565151,0.10934785164700973
20,MFC,6,63,vit_b_16,block2,gap,0.0040319632657104185,0.02462067167565151,0.025696064772535818
20,MFC,6,63,vit_b_16,block5,cls,0.011107907845545377,0.02462067167565151,0.07079169642092488
20,MFC,6,63,vit_b_16,block5,gap,-0.0032882293738071286,0.02462067167565151,-0.020956181742745914
20,MFC,6,63,vit_b_16,block8,cls,-0.027924718604713326,0.02462067167565151,-0.177966744916541
