region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MTL_concept,convnext_tiny,stage2,gap,14.0,0.03194856240089838,0.011183089478328015,2.8433599546758543,0.01383189897371003,0.09418264488791318,0.8571428571428571
MTL_concept,convnext_tiny,stage3,gap,14.0,0.04458581152295185,0.0184207390269282,2.387190719714178,0.03286319764381851,0.13143657611296847,0.6428571428571429
MTL_concept,convnext_tiny,stage4,gap,14.0,0.0441822888954883,0.015085689492597691,2.9106056785357626,0.012157847808524719,0.1302470130944594,0.7142857142857143
MTL_concept,dinov2_small,block11,cls,14.0,0.042390956551325874,0.013526757675308566,3.1118524055941257,0.00825623551472436,0.12496626161871417,0.7857142857142857
MTL_concept,dinov2_small,block11,gap,14.0,0.0655747473167824,0.02141772286951915,3.0014474810722884,0.010210436456728297,0.19331083078647343,0.8571428571428571
MTL_concept,dinov2_small,block2,cls,14.0,0.034135171542333725,0.014968600124802531,2.2575308789940496,0.04182162920586586,0.1006286511179362,0.8571428571428571
MTL_concept,dinov2_small,block2,gap,14.0,0.030792947712520675,0.013450236010751432,2.2722441851251425,0.040699135532355483,0.09077595489488635,0.6428571428571429
MTL_concept,dinov2_small,block5,cls,14.0,0.04266309461216579,0.019972050924126423,2.1029412972516526,0.05551539041420667,0.12576850999605743,0.7857142857142857
MTL_concept,dinov2_small,block5,gap,14.0,0.042433705366629645,0.016016996097011186,2.619290399477568,0.021214699694340894,0.12509228282870205,0.8571428571428571
MTL_concept,dinov2_small,block8,cls,14.0,0.054977605607547164,0.019347089740144888,2.797270471395072,0.015108448387670283,0.16207102656918793,0.7857142857142857
MTL_concept,dinov2_small,block8,gap,14.0,0.05532686881304018,0.02019248541875137,2.688683908743856,0.018590706595262255,0.16310063572789102,0.7142857142857143
MTL_concept,dinov2_small,norm,cls,14.0,0.04686606894737932,0.014191536606793686,3.277129619441492,0.006006301048265016,0.13815865244814154,0.8571428571428571
MTL_concept,dinov2_small,norm,gap,14.0,0.07198099027829861,0.023079678605013216,3.048116022202195,0.009333752304303713,0.21219609073460838,0.7857142857142857
MTL_concept,resnet18,avgpool,gap,14.0,0.06997496188875621,0.025465920780317154,2.675112714565223,0.019077658809631363,0.2062824268558846,0.7857142857142857
MTL_concept,resnet18,layer1,gap,14.0,0.034271162755769906,0.014245752620227,2.385239265513399,0.03298332425014401,0.10102954590632192,0.7857142857142857
MTL_concept,resnet18,layer2,gap,14.0,0.04995264968025864,0.019048698533132905,2.5787242126338508,0.022911942448183543,0.1472577265609246,0.8571428571428571
MTL_concept,resnet18,layer3,gap,14.0,0.062026270960535486,0.025346349104477663,2.3770836246550062,0.03348992131163941,0.1828501132005028,0.7142857142857143
MTL_concept,resnet18,layer4,gap,14.0,0.06997496188875621,0.025465920780317154,2.675112714565223,0.019077658809631363,0.2062824268558846,0.7857142857142857
MTL_concept,resnet18,logits,gap,14.0,0.07224955121325861,0.023583137192483342,2.9956370396740075,0.010325162224911198,0.21298779393710965,0.8571428571428571
