subject,unit,area,region,n_match,n_lure,probe_pref_match_hz,probe_pref_lure_hz,probe_nonpref_hz,baseline_hz,p_match_vs_lure,rho_sim_nonpref_probe
18,6,dACC,MFC,10,14,3.875,5.267857142857143,4.693627450980392,2.7936507936507935,0.47803470506984747,1.0
18,9,dACC,MFC,12,10,8.229166666666666,9.625,5.516826923076923,4.126984126984127,1.0,-0.7999999999999999
18,11,dACC,MFC,10,14,0.25,0.0,0.11029411764705882,0.20634920634920634,0.27189871081964834,0.19999999999999998
18,19,amygdala,MTL,13,14,5.576923076923077,4.285714285714286,2.878787878787879,2.380952380952381,0.17484119370942675,1.0
18,25,amygdala,MTL,12,10,2.5,1.875,1.1899038461538463,1.0634920634920635,0.1615358695797917,-0.7999999999999999
18,31,amygdala,MTL,13,14,0.7692307692307693,0.26785714285714285,0.4166666666666667,0.3333333333333333,0.14323490752466964,0.7999999999999999
18,33,amygdala,MTL,10,14,1.75,2.3214285714285716,0.024509803921568627,0.15873015873015872,0.36825144502269425,-0.632455532033676
18,35,amygdala,MTL,10,14,0.625,1.9642857142857142,0.012254901960784314,0.1111111111111111,0.015059007450282677,-0.7745966692414834
18,46,amygdala,MTL,14,14,6.875,9.107142857142858,7.563775510204081,6.142857142857143,0.051283356118050676,0.6000000000000001
18,48,amygdala,MTL,11,14,1.7045454545454546,0.9821428571428571,0.5321782178217822,0.36507936507936506,0.504463589012533,-0.19999999999999998
18,49,amygdala,MTL,14,14,0.35714285714285715,0.35714285714285715,0.17857142857142858,0.09523809523809523,1.0,0.0
18,51,hippocampus,MTL,10,14,0.75,1.6071428571428572,0.5637254901960784,0.49206349206349204,0.12019464994717563,0.19999999999999998
18,54,hippocampus,MTL,11,14,1.25,0.9821428571428571,1.9306930693069306,2.1587301587301586,0.6850213411007373,-0.19999999999999998
18,55,hippocampus,MTL,10,14,0.0,0.26785714285714285,0.0857843137254902,0.031746031746031744,0.13863150523594514,0.7378647873726218
18,56,hippocampus,MTL,11,14,7.045454545454546,5.446428571428571,0.4207920792079208,0.5555555555555556,0.3909839668442341,0.6000000000000001
18,62,hippocampus,MTL,13,14,6.826923076923077,6.607142857142857,5.959595959595959,6.777777777777778,0.961016484554399,0.7999999999999999
18,70,hippocampus,MTL,13,14,1.1538461538461537,1.1607142857142858,1.047979797979798,0.5079365079365079,0.9343238860502867,0.0
18,81,hippocampus,MTL,13,14,2.2115384615384617,1.875,1.3131313131313131,1.8412698412698412,0.5292413535764546,-0.7999999999999999
18,99,preSMA,MFC,12,10,3.0208333333333335,1.5,2.1153846153846154,3.3015873015873014,0.14045473469641287,-0.7999999999999999
18,110,preSMA,MFC,12,10,0.5208333333333334,0.375,0.44471153846153844,0.31746031746031744,0.5831143152184793,0.19999999999999998
18,113,preSMA,MFC,12,10,0.5208333333333334,0.625,0.4567307692307692,0.20634920634920634,0.7860360214907476,0.19999999999999998
19,6,hippocampus,MTL,8,11,0.46875,0.9090909090909091,0.12048192771084337,0.0196078431372549,0.4143908480144005,0.39999999999999997
21,1,amygdala,MTL,10,14,4.0,5.714285714285714,0.4945054945054945,1.008695652173913,0.22220171028003732,0.19999999999999998
21,2,hippocampus,MTL,10,13,1.875,1.1538461538461537,0.7065217391304348,0.6956521739130435,0.4357005397666691,0.7999999999999999
21,16,hippocampus,MTL,9,10,7.777777777777778,7.5,4.973958333333333,4.921739130434783,0.508756047417153,0.7999999999999999
21,17,hippocampus,MTL,9,10,1.9444444444444444,1.625,0.8854166666666666,1.0608695652173914,0.4714788102177474,0.0
21,18,hippocampus,MTL,9,10,0.9722222222222222,2.375,1.5625,1.6869565217391305,0.09616003338325603,-0.7999999999999999
