subject,region,scope,model,layer,n_images,rho
4,MTL_concept,within face_person,alexnet,conv4,28,-0.07519805581856351
4,MTL_concept,within animal,alexnet,conv4,19,0.10122399020807835
4,MTL_concept,within landmark_place,alexnet,conv4,12,0.08698465713391089
4,MTL_concept,all,resnet50,layer2,63,0.0696086624145016
4,MTL_concept,between-category pairs,resnet50,layer2,63,-0.04916760943059992
4,MTL_concept,within-category pairs (all cats),resnet50,layer2,63,0.010186504525902319
4,MTL_concept,within face_person,resnet50,layer2,28,0.06142654846139515
4,MTL_concept,within animal,resnet50,layer2,19,0.15753233974128208
4,MTL_concept,within landmark_place,resnet50,layer2,12,-0.0489927982465296
4,MTL_concept,all,resnet50,avgpool,63,0.17978927787811463
4,MTL_concept,between-category pairs,resnet50,avgpool,63,0.07971860893428982
4,MTL_concept,within-category pairs (all cats),resnet50,avgpool,63,-0.06706718640857039
4,MTL_concept,within face_person,resnet50,avgpool,28,-0.01643558071544606
4,MTL_concept,within animal,resnet50,avgpool,19,0.1088919288645691
4,MTL_concept,within landmark_place,resnet50,avgpool,12,-0.29735935706084965
4,MTL_concept,all,vit_b_16,ln,63,0.18584730956751064
4,MTL_concept,between-category pairs,vit_b_16,ln,63,0.05995516719554286
4,MTL_concept,within-category pairs (all cats),vit_b_16,ln,63,0.00894119783450045
4,MTL_concept,within face_person,vit_b_16,ln,28,-0.04639704657901364
4,MTL_concept,within animal,vit_b_16,ln,19,0.09043367653058776
4,MTL_concept,within landmark_place,vit_b_16,ln,12,0.05078801795219707
4,MTL_concept,all,dinov2_small,norm,63,0.12517413104975156
4,MTL_concept,between-category pairs,dinov2_small,norm,63,-0.05669110645998457
4,MTL_concept,within-category pairs (all cats),dinov2_small,norm,63,-0.039339186276502555
4,MTL_concept,within face_person,dinov2_small,norm,28,0.0315806172416126
4,MTL_concept,within animal,dinov2_small,norm,19,0.04287085703314374
4,MTL_concept,within landmark_place,dinov2_small,norm,12,-0.1501095919006367
4,MTL_concept,all,clip_vitb32,ln_post,63,0.19108880172552734
4,MTL_concept,between-category pairs,clip_vitb32,ln_post,63,0.05733788590650754
4,MTL_concept,within-category pairs (all cats),clip_vitb32,ln_post,63,0.06077142052354574
4,MTL_concept,within face_person,clip_vitb32,ln_post,28,-0.025517270262971292
4,MTL_concept,within animal,clip_vitb32,ln_post,19,0.18453932368541054
4,MTL_concept,within landmark_place,clip_vitb32,ln_post,12,0.08940611627178793
5,MTL,all,alexnet,conv1,63,0.0018981740696800507
5,MTL,between-category pairs,alexnet,conv1,63,0.0057168289133617736
5,MTL,within-category pairs (all cats),alexnet,conv1,63,-0.02603845687146122
5,MTL,within face_person,alexnet,conv1,29,-0.05289525979181152
5,MTL,within animal,alexnet,conv1,19,0.039302085583315334
