subject,unit,area,t,pref_minus_nonpref,rho_alexnet conv1,rho_resnet50 avgpool,rho_clip ln_post
3,39,hippocampus,1.075,0.1612903225806459,0.09255846710783447,0.09219821730535749,0.058669253546250376
3,39,hippocampus,1.1,0.45698924731182844,0.04003534047534934,0.10101700599321393,0.03920986953771327
3,39,hippocampus,1.125,-1.1559139784946237,0.0707970736259947,-0.032234930911725426,-0.09542893521120653
3,39,hippocampus,1.15,0.6989247311827955,0.0955273160802288,-0.07690118272943426,-0.1415325629298836
4,8,amygdala,-0.15,0.9946236559139786,-0.08100112387726467,-0.1481443719057316,-0.14762316861053346
4,8,amygdala,-0.125,1.0752688172043012,0.05286764362522127,0.04339881193115178,-0.005523485154873863
4,8,amygdala,-0.1,0.8333333333333336,0.015995082031264703,-0.04870835106808274,-0.034940432357627046
4,8,amygdala,-0.075,-0.8602150537634408,0.06240672193465879,0.015428968153587231,0.10688014692960705
4,8,amygdala,-0.05,-0.9946236559139786,-0.006797130156962358,-0.11996934727038562,-0.06584719839557283
4,8,amygdala,-0.025,-0.9946236559139785,-0.15503596402439013,-0.3519598266924609,-0.22406925055088672
4,8,amygdala,-0.0,0.7795698924731184,-0.19510645672121193,-0.4376312635451007,-0.31386567188538456
4,8,amygdala,0.025,2.553763440860215,-0.15696386271601814,-0.4211501313759977,-0.3903660829541305
4,8,amygdala,0.05,2.7150537634408605,-0.08288478903772548,-0.1880655239603169,-0.1635555750575132
4,8,amygdala,0.075,4.301075268817204,-0.14277341085734938,-0.08124788773959424,-0.03528799768660895
4,8,amygdala,0.1,2.6075268817204305,-0.10612074571536675,-0.09778542208576675,-0.022796962859754057
4,8,amygdala,0.125,0.7795698924731185,-0.1550237590999909,-0.14478768598671213,-0.09320814208163881
4,8,amygdala,0.15,0.5913978494623657,-0.01801369185211963,0.011094146727972088,-0.04546312705534954
4,8,amygdala,0.175,-0.9946236559139784,0.04963176906494827,0.10828490899777991,0.06798755521568889
4,8,amygdala,0.2,-1.1021505376344085,-0.018956096101552078,0.08944469049399016,0.04830294117728825
4,8,amygdala,0.225,0.510752688172043,-0.009374303423900334,0.1260016666094839,0.07758614657310454
4,8,amygdala,0.25,2.338709677419355,-0.02344483775539392,0.07982136081756976,0.044654104184478884
4,8,amygdala,0.275,2.28494623655914,-0.08514739311688374,-0.07691647844891832,-0.07856266138251139
4,8,amygdala,0.3,2.3655913978494625,-0.05437663335426395,-0.0899997049919987,-0.010173879694747682
4,8,amygdala,0.325,2.473118279569893,-0.03688975760014305,-0.06197595282351077,0.036338731346681793
4,8,amygdala,0.35,2.3655913978494625,0.013185729166952355,-0.06186709802194783,0.05151301134421083
4,8,amygdala,0.375,2.39247311827957,0.1396110429637644,0.02926133492322164,0.09083265407520018
