subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
2,MFC,11,63,fine-only,centred,clip_ln_post,0.05821717592071837,0.03338285727740139,0.047994285461352273,0.005113574835159112,0.49734615215705497
2,MFC,11,63,fine-only,centred,resnet50_avgpool,0.05821717592071837,0.04071277344474009,0.04319605113120172,0.011469186007947073,0.5329063742992528
3,MTL,7,63,identity+fine,raw,clip_embed,0.022113784322454103,0.03537145081246809,0.012401690325230625,0.030268425784107926,0.2898337144732723
3,MTL,7,63,identity+fine,raw,clip_ln_post,0.022113784322454103,0.04743140576282887,0.009458864570439929,0.04302200312351758,0.27469176623862884
3,MTL,7,63,identity+fine,raw,resnet50_avgpool,0.022113784322454103,0.038556492549664166,0.025441403923360768,0.04055478706424705,-0.08351115392357646
3,MTL,7,63,identity+fine,centred,clip_embed,0.045065623391434696,0.03537145081246809,0.03201491334547101,0.015633226990349393,0.4810777823186583
3,MTL,7,63,identity+fine,centred,clip_ln_post,0.045065623391434696,0.04743140576282887,0.022080644392759596,0.026584226794030243,0.5671323408797522
3,MTL,7,63,identity+fine,centred,resnet50_avgpool,0.045065623391434696,0.038556492549664166,0.03004239861586743,0.018910922601935855,0.49017448590963086
3,MTL,7,63,fine-only,raw,clip_embed,0.03674894768933869,0.03537145081246809,0.031798365983566744,0.030195309190236438,0.15079588889122414
3,MTL,7,63,fine-only,raw,clip_ln_post,0.03674894768933869,0.04743140576282887,0.02168914808245739,0.037019788130340146,0.34628088073399577
3,MTL,7,63,fine-only,raw,resnet50_avgpool,0.03674894768933869,0.038556492549664166,0.016123902101097112,0.019905949323426327,0.6278812431852627
3,MTL,7,63,fine-only,centred,clip_embed,0.0544280566315841,0.03537145081246809,0.04547170561178076,0.018837900764314738,0.3227801646160334
3,MTL,7,63,fine-only,centred,clip_ln_post,0.0544280566315841,0.04743140576282887,0.03687101355572191,0.02540965906285834,0.45676423278706424
3,MTL,7,63,fine-only,centred,resnet50_avgpool,0.0544280566315841,0.038556492549664166,0.039762875322989465,0.010160284901718029,0.5531041351760922
3,MFC,33,63,identity+fine,raw,clip_embed,-0.00997227121164063,0.02420257438550333,-0.01775402638085546,0.02830934348166393,0.2898337144732723
3,MFC,33,63,identity+fine,raw,clip_ln_post,-0.00997227121164063,0.018261906450151476,-0.01559091249413969,0.021842480772521607,0.27469176623862884
3,MFC,33,63,identity+fine,raw,resnet50_avgpool,-0.00997227121164063,3.5776976371788735e-05,-0.010004229791663112,-0.0007998525438589774,-0.08351115392357646
3,MFC,33,63,identity+fine,centred,clip_embed,-0.011525738193147584,0.02420257438550333,-0.026435989076106663,0.03393415812979145,0.4810777823186583
3,MFC,33,63,identity+fine,centred,clip_ln_post,-0.011525738193147584,0.018261906450151476,-0.02657308984199191,0.030110938912733767,0.5671323408797522
3,MFC,33,63,identity+fine,centred,resnet50_avgpool,-0.011525738193147584,3.5776976371788735e-05,-0.013243406314853224,0.006523197254760787,0.49017448590963086
3,MFC,33,63,fine-only,raw,clip_embed,0.011599251191816427,0.02420257438550333,0.008043914606925195,0.022714710158598626,0.15079588889122414
