subject,region,t,ref,rho
1,MFC,-0.05,clip ln_post,-0.015088073511262168
1,MFC,-0.05,category,-0.013673075377619899
1,MFC,-0.05,low-level,-0.008861576386320543
1,MFC,-0.025,alexnet conv1,0.026487585703328865
1,MFC,-0.025,alexnet conv4,-0.010363453871313382
1,MFC,-0.025,resnet50 avgpool,-0.006140649457427149
1,MFC,-0.025,clip ln_post,-0.01780268240236322
1,MFC,-0.025,category,-0.015830052956960286
1,MFC,-0.025,low-level,-0.012191225797791295
1,MFC,-0.0,alexnet conv1,0.011713456810924644
1,MFC,-0.0,alexnet conv4,-0.013726695848333277
1,MFC,-0.0,resnet50 avgpool,-0.0033694601376212333
1,MFC,-0.0,clip ln_post,-0.011622460635306055
1,MFC,-0.0,category,-0.008587592979429948
1,MFC,-0.0,low-level,-0.011233037856651465
1,MFC,0.025,alexnet conv1,-0.0038628373519662166
1,MFC,0.025,alexnet conv4,-0.008965381006224425
1,MFC,0.025,resnet50 avgpool,0.0005796678855292436
1,MFC,0.025,clip ln_post,-0.01895054840568038
1,MFC,0.025,category,0.008340191133031518
1,MFC,0.025,low-level,-0.01759830950572853
1,MFC,0.05,alexnet conv1,-0.01788213954057575
1,MFC,0.05,alexnet conv4,-0.004735021366115323
1,MFC,0.05,resnet50 avgpool,-0.0039206839657054465
1,MFC,0.05,clip ln_post,-0.016748386828716703
1,MFC,0.05,category,0.010599794663470512
1,MFC,0.05,low-level,-0.008938493099852163
1,MFC,0.075,alexnet conv1,-0.016177403426037667
1,MFC,0.075,alexnet conv4,0.004666333244384641
1,MFC,0.075,resnet50 avgpool,0.010187881045981992
1,MFC,0.075,clip ln_post,-0.010160324606798965
1,MFC,0.075,category,0.027076757633605952
1,MFC,0.075,low-level,-0.021213198509177637
1,MFC,0.1,alexnet conv1,-0.03189414747239697
1,MFC,0.1,alexnet conv4,-0.005309460197418674
1,MFC,0.1,resnet50 avgpool,0.004349329483821532
1,MFC,0.1,clip ln_post,-0.0029747197040067923
1,MFC,0.1,category,0.015313257988928013
1,MFC,0.1,low-level,-0.03601442311694831
1,MFC,0.125,alexnet conv1,-0.03347946107401823
1,MFC,0.125,alexnet conv4,-0.009614938761621294
1,MFC,0.125,resnet50 avgpool,0.0020440414852993536
1,MFC,0.125,clip ln_post,0.01221194548215772
1,MFC,0.125,category,0.018769553413427557
1,MFC,0.125,low-level,-0.013187742416440875
1,MFC,0.15,alexnet conv1,-0.021708009444490285
1,MFC,0.15,alexnet conv4,-0.02155823232011983
1,MFC,0.15,resnet50 avgpool,-0.0064426555301150094
1,MFC,0.15,clip ln_post,-0.015454611525796915
1,MFC,0.15,category,0.000401340773046342
1,MFC,0.15,low-level,-0.0017110042137349207
1,MFC,0.175,alexnet conv1,-0.018069868386606024
1,MFC,0.175,alexnet conv4,-0.011284733968531649
1,MFC,0.175,resnet50 avgpool,0.005234331607790545
1,MFC,0.175,clip ln_post,0.0006990146850915987
1,MFC,0.175,category,0.005094645429538041
1,MFC,0.175,low-level,-0.000708884806854395
1,MFC,0.2,alexnet conv1,-0.002751695547412966
1,MFC,0.2,alexnet conv4,0.010600568766451223
1,MFC,0.2,resnet50 avgpool,0.018041153694191816
1,MFC,0.2,clip ln_post,0.013170549041285933
1,MFC,0.2,category,0.022795789387778303
1,MFC,0.2,low-level,0.010848220705240193
1,MFC,0.225,alexnet conv1,0.006853471358714101
1,MFC,0.225,alexnet conv4,0.0026275288679233565
1,MFC,0.225,resnet50 avgpool,0.0060544651071236365
1,MFC,0.225,clip ln_post,0.008239763548031664
1,MFC,0.225,category,0.01122471340141025
1,MFC,0.225,low-level,0.00862862733660111
1,MFC,0.25,alexnet conv1,0.002645087922471175
1,MFC,0.25,alexnet conv4,0.003240467134514627
1,MFC,0.25,resnet50 avgpool,0.008337335509032288
1,MFC,0.25,clip ln_post,0.009954853061063215
1,MFC,0.25,category,0.01459670893750737
1,MFC,0.25,low-level,0.010158942435349236
1,MFC,0.275,alexnet conv1,0.00045586044174276866
1,MFC,0.275,alexnet conv4,-0.0030041866971984156
1,MFC,0.275,resnet50 avgpool,0.0005139986324428387
1,MFC,0.275,clip ln_post,-0.008584615324738637
1,MFC,0.275,category,-0.004583348280314618
1,MFC,0.275,low-level,0.012595085663313552
1,MFC,0.3,alexnet conv1,-0.0065054734504904396
1,MFC,0.3,alexnet conv4,-0.0039867478947885684
1,MFC,0.3,resnet50 avgpool,0.004027568669306157
1,MFC,0.3,clip ln_post,0.0005206291891876846
1,MFC,0.3,category,0.0034819519122742002
1,MFC,0.3,low-level,0.007829247351005592
1,MFC,0.325,alexnet conv1,-0.01004327014986244
1,MFC,0.325,alexnet conv4,-0.005961924056889327
1,MFC,0.325,resnet50 avgpool,0.0014839028124566422
1,MFC,0.325,clip ln_post,0.0008622848957824687
1,MFC,0.325,category,0.002257770924169376
1,MFC,0.325,low-level,-0.008671361886972168
1,MFC,0.35,alexnet conv1,-0.021168332708424303
1,MFC,0.35,alexnet conv4,-0.0033025601397940452
1,MFC,0.35,resnet50 avgpool,0.006018762233183884
1,MFC,0.35,clip ln_post,0.012152872956445016
1,MFC,0.35,category,0.01020761692177226
1,MFC,0.35,low-level,-0.011801453448968182
1,MFC,0.375,alexnet conv1,-0.017763899444726637
1,MFC,0.375,alexnet conv4,-0.0010299609793346489
1,MFC,0.375,resnet50 avgpool,0.004925007114477845
1,MFC,0.375,clip ln_post,0.01388295371366207
1,MFC,0.375,category,0.009949219437756122
1,MFC,0.375,low-level,-0.007604051670968603
1,MFC,0.4,alexnet conv1,-0.01842553911839035
1,MFC,0.4,alexnet conv4,0.005413197158580262
1,MFC,0.4,resnet50 avgpool,0.01530629228623066
1,MFC,0.4,clip ln_post,0.014356316827667413
1,MFC,0.4,category,0.009571702546214814
1,MFC,0.4,low-level,0.00014502329226305917
1,MFC,0.425,alexnet conv1,-0.023369421411045883
1,MFC,0.425,alexnet conv4,-0.0006895231301011632
1,MFC,0.425,resnet50 avgpool,0.010358969063252729
1,MFC,0.425,clip ln_post,0.010669577461746587
1,MFC,0.425,category,0.011745173581981763
1,MFC,0.425,low-level,-0.011467140326834772
1,MFC,0.45,alexnet conv1,-0.010477702101367128
1,MFC,0.45,alexnet conv4,0.00604773628411022
1,MFC,0.45,resnet50 avgpool,0.015740643691613567
1,MFC,0.45,clip ln_post,0.012417880973554918
1,MFC,0.45,category,0.02250440499090904
1,MFC,0.45,low-level,-0.024127094614784246
1,MFC,0.475,alexnet conv1,-0.012408391029486918
1,MFC,0.475,alexnet conv4,-0.0045151642830298456
1,MFC,0.475,resnet50 avgpool,0.0064254879297190376
1,MFC,0.475,clip ln_post,-0.001090410843729776
1,MFC,0.475,category,0.006848449629562467
1,MFC,0.475,low-level,-0.01883662074919131
1,MFC,0.5,alexnet conv1,-0.014874434588778029
1,MFC,0.5,alexnet conv4,0.00411335189992321
1,MFC,0.5,resnet50 avgpool,0.006302914452518216
1,MFC,0.5,clip ln_post,0.001290534126979402
1,MFC,0.5,category,-0.007379905447751686
1,MFC,0.5,low-level,-0.01962826347432874
1,MFC,0.525,alexnet conv1,0.002152437234144638
1,MFC,0.525,alexnet conv4,0.013555920350015042
1,MFC,0.525,resnet50 avgpool,0.0041944231824161925
1,MFC,0.525,clip ln_post,-0.01008174381039139
1,MFC,0.525,category,0.007444046667188316
1,MFC,0.525,low-level,-0.01661348657303883
1,MFC,0.55,alexnet conv1,0.004295221821055282
1,MFC,0.55,alexnet conv4,-0.0017051291796123618
1,MFC,0.55,resnet50 avgpool,-0.0018200314441749522
