region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MTL,0.2,category one-hot,134,-0.18808614407441226,0.014234709849689435,0.01161357862831726,0.01615119885449931,0.4733693333134986
MTL,0.25,category one-hot,134,-0.10146055133116431,0.021493164411691777,0.09823917137156522,0.023146759595501606,4.0868444955989265e-05
MTL,0.3,category one-hot,134,0.007312262991094792,0.0268043944440637,0.20701198569382437,0.027961314915279274,1.3572603140144515e-11
MTL,0.35,category one-hot,134,-0.003860735327573416,0.026829541372555315,0.19583898737515612,0.027701995162514818,7.933868778265099e-11
MTL,0.4,category one-hot,134,-0.049033111656948326,0.025920917852324563,0.15066661104578122,0.026501447482514765,7.914771991385697e-08
MTL,0.45,category one-hot,134,-0.0740551829109309,0.025895574859427343,0.12564453979179865,0.026917770818776717,7.34212570100321e-06
MTL,0.5,category one-hot,134,-0.10265459035755999,0.021948012299690407,0.09704513234516957,0.022239424558047956,2.545899955831348e-05
MTL,0.55,category one-hot,134,-0.10825912800996751,0.019332115368999366,0.09144059469276204,0.020128319268019806,1.2314158535047562e-05
MTL,0.6,category one-hot,134,-0.15021744669265785,0.01760323630901581,0.04948227601007171,0.01784088004106981,0.006342515501403876
MTL,0.65,category one-hot,134,-0.13936644049383498,0.01909871801996975,0.06033328220889459,0.019957807524096646,0.0030032301668798346
MTL,0.7,category one-hot,134,-0.12614555129469757,0.017777486762566484,0.073554171408032,0.019359106666627046,0.00021978162679475404
MTL,0.75,category one-hot,134,-0.13406379691214307,0.01928744669425539,0.06563592579058646,0.020616439862566352,0.001811197859884469
MTL,0.8,category one-hot,134,-0.14107045100058865,0.01777945383761999,0.0586292717021409,0.019350781537278247,0.0029409992757081418
MTL,0.85,category one-hot,134,-0.15588463892224091,0.016712047764355326,0.04381508378048864,0.01856336682224166,0.01971357471015511
MTL,0.9,category one-hot,134,-0.18364699466848336,0.013952807965256404,0.01605272803424618,0.016187275039193406,0.323150465519755
MTL,0.95,category one-hot,134,-0.16242361165848102,0.017500853076143224,0.03727611104424857,0.019501135228761117,0.05809363706971151
MTL,1.0,category one-hot,134,-0.16755187848316455,0.016449798980541,0.032147844219564986,0.01753166917994641,0.06893391112362987
MTL,1.05,category one-hot,134,-0.15746751838597048,0.016227676597353424,0.04223220431675907,0.016854283434671904,0.013426472968479687
MTL,1.1,category one-hot,133,-0.17676348339557602,0.014552536928706119,0.022709188273651433,0.01694491668848126,0.18249008370351913
MTL,-0.3,clip ln_post,133,-0.1638666559465818,0.016397551815517324,0.006674464749854619,0.013635834724144745,0.6253145273645964
MTL,-0.25,clip ln_post,133,-0.1638230350457809,0.016286651828046693,0.006718085650655492,0.012154135280650371,0.5813757813563052
MTL,-0.2,clip ln_post,134,-0.17518925142682482,0.014689885473544818,-0.0041685410248637625,0.012485308516242301,0.738999206801981
MTL,-0.15,clip ln_post,134,-0.16798747599667302,0.015349643362398623,0.003033234405288062,0.013263381512848223,0.8194592757475824
