region,model,layer,view,n_pairs,rho,p_perm,null_sd
MTL_concept,vit_b_16,ln,gap,5681,0.13122826456161388,0.004975124378109453,0.012217887488656884
MTL,vit_b_16,logits,gap,6886,0.07620971228765651,0.004975124378109453,0.012214459603764933
MFC,vit_b_16,logits,gap,6886,0.010278933574922922,0.14427860696517414,0.010865713483051655
amygdala,vit_b_16,logits,gap,5987,0.07430374541117848,0.004975124378109453,0.01138365111643484
hippocampus,vit_b_16,logits,gap,6200,0.028492860564512616,0.024875621890547265,0.012682516531564249
MTL_concept,vit_b_16,logits,gap,5681,0.08939674773729385,0.004975124378109453,0.012559419909924098
MTL,dinov2_small,block2,cls,6886,0.02278864992112357,0.07462686567164178,0.013267438733644565
MFC,dinov2_small,block2,cls,6886,0.0020061538445437723,0.4427860696517413,0.009531928869621616
amygdala,dinov2_small,block2,cls,5987,0.02153335990686845,0.01990049751243781,0.010254069802251417
hippocampus,dinov2_small,block2,cls,6200,0.008832778140343736,0.1791044776119403,0.010380242324584624
MTL_concept,dinov2_small,block2,cls,5681,0.03373865790612991,0.004975124378109453,0.011851025663413709
MTL,dinov2_small,block2,gap,6886,0.025136277305199618,0.03482587064676617,0.013370126952240064
MFC,dinov2_small,block2,gap,6886,0.0038454803116097095,0.36318407960199006,0.009551047900888648
amygdala,dinov2_small,block2,gap,5987,0.010309798060434413,0.1791044776119403,0.010360819840524439
hippocampus,dinov2_small,block2,gap,6200,0.01381778440395597,0.11442786069651742,0.010439228312703329
MTL_concept,dinov2_small,block2,gap,5681,0.032843521403935566,0.009950248756218905,0.011999014308024766
MTL,dinov2_small,block5,cls,6886,0.0512718205659011,0.004975124378109453,0.012614920657587566
MFC,dinov2_small,block5,cls,6886,0.02170544353749187,0.014925373134328358,0.009944841221363708
amygdala,dinov2_small,block5,cls,5987,0.0402539144591976,0.004975124378109453,0.010799225983171592
