subject,model,layer,view,metric,rho
4,vgg16,fc7,gap,correlation,0.04082870669966145
4,vgg16,fc7,gap,euclidean,0.005729163485094857
4,vgg16,fc7,rp,correlation,0.02468704480970199
4,vgg16,fc7,rp,euclidean,0.00622652451062303
4,vgg16,logits,gap,correlation,0.050695614672199074
4,vgg16,logits,gap,euclidean,0.015663142213237828
4,vgg16,logits,rp,correlation,0.050695614672199074
4,vgg16,logits,rp,euclidean,0.015663142213237828
4,resnet50,stem,gap,correlation,0.006291207879178859
4,resnet50,stem,gap,euclidean,0.008212508351344091
4,resnet50,stem,rp,correlation,0.003754514094630533
4,resnet50,stem,rp,euclidean,0.0003403943543277251
4,resnet50,layer1,gap,correlation,0.01512117796731333
4,resnet50,layer1,gap,euclidean,0.015009367062904616
4,resnet50,layer1,rp,correlation,0.030518073364088294
4,resnet50,layer1,rp,euclidean,0.027810800613758877
4,resnet50,layer2,gap,correlation,0.016700331401540924
4,resnet50,layer2,gap,euclidean,0.015820282864061317
4,resnet50,layer2,rp,correlation,0.03082013904090627
4,resnet50,layer2,rp,euclidean,0.026892404067700295
4,resnet50,layer3,gap,correlation,0.03352902432459371
4,resnet50,layer3,gap,euclidean,0.02886718072103703
4,resnet50,layer3,rp,correlation,0.05687469429524942
4,resnet50,layer3,rp,euclidean,0.05321311109408259
4,resnet50,layer4,gap,correlation,0.07035785411161662
4,resnet50,layer4,gap,euclidean,0.06336423411192953
4,resnet50,layer4,rp,correlation,0.04472784296686859
4,resnet50,layer4,rp,euclidean,0.058790300156604865
4,resnet50,avgpool,gap,correlation,0.07035785411161662
4,resnet50,avgpool,gap,euclidean,0.06336423411192953
4,resnet50,avgpool,rp,correlation,0.07035785411161662
4,resnet50,avgpool,rp,euclidean,0.06336423411192953
4,resnet50,logits,gap,correlation,0.03216613883826512
4,resnet50,logits,gap,euclidean,0.07003068704140744
4,resnet50,logits,rp,correlation,0.03216613883826512
4,resnet50,logits,rp,euclidean,0.07003068704140744
4,convnext_tiny,stage1,gap,correlation,0.029282975910884496
4,convnext_tiny,stage1,gap,euclidean,0.024295801688695197
4,convnext_tiny,stage1,rp,correlation,0.033352194979762564
4,convnext_tiny,stage1,rp,euclidean,0.042845067704750245
4,convnext_tiny,stage2,gap,correlation,0.01149867896627855
4,convnext_tiny,stage2,gap,euclidean,0.00534720249916187
4,convnext_tiny,stage2,rp,correlation,0.04005571523448317
4,convnext_tiny,stage2,rp,euclidean,0.02659211846017363
4,convnext_tiny,stage3,gap,correlation,0.030977133097788125
4,convnext_tiny,stage3,gap,euclidean,0.026066469636676682
4,convnext_tiny,stage3,rp,correlation,0.06076999334521499
